"id_vente","nom_produit","nom_magasin","date_vente","prix_vente"
"1","Aspirateur robot","Magasin B","2023-05-16","184.99"
"2","Ordinateur portable","Magasin A","2023-05-16","23.99"
"3","Casque audio sans fil","Magasin D","2023-05-16","899.99"
"4","T-shirt blanc","Magasin C","2023-05-16","46.99"
"5","Livre de cuisine","Magasin B","2023-05-16","129.99"
"6","Chaussures de running","Magasin A","2023-05-16","599.99"
"7","Sac à dos noir","Magasin D","2023-05-16","74.99"
"8","Smartphone Samsung","Magasin C","2023-05-16","37.99"
"9","Ensemble de poêles","Magasin A","2023-05-16","299.99"
"10","Brosse à dents électrique","Magasin B","2023-05-16","14.99"
"11","T-shirt blanc","Magasin C","2023-05-16","57.99"
"12","Smartphone Samsung","Magasin A","2023-05-16","439.99"
"13","Ensemble de poêles","Magasin B","2023-05-16","64.99"
"14","Brosse à dents électrique","Magasin D","2023-05-16","89.99"
"15","Livre de cuisine","Magasin A","2023-05-16","179.99"
"16","Chaussures de running","Magasin D","2023-05-16","349.99"
"17","Sac à dos noir","Magasin B","2023-05-16","299.99"
"18","Aspirateur robot","Magasin C","2023-05-16","429.99"
"19","Ordinateur portable","Magasin D","2023-05-16","99.99"
"20","Casque audio sans fil","Magasin A","2023-05-16","239.99"
